drug	n_gwas_target_genes	approved	genes
PAREGORIC	2	True	DRD2,TAOK3
ENMD-2076	2	False	AURKB,DRD2
IBCASERTIB	2	False	AURKB,DRD2
ATENOLOL	2	True	CACNA1C,FTO
GO-6976	2	False	AURKB,MARK3
GSK-269962A	2	False	AURKB,MARK3
KENPAULLONE	2	False	AURKB,MARK3
IRINOTECAN HYDROCHLORIDE	2	True	KLC1,XRCC3
LEUCOVORIN CALCIUM	2	True	KLC1,XRCC3
OXTRIPHYLLINE	1	True	PDE4B
TETOMILAST	1	False	PDE4B
HT-0712	1	False	PDE4B
PENTOXIFYLLINE	1	True	PDE4B
DENBUFYLLINE	1	False	PDE4B
ROFLUMILAST	1	True	PDE4B
IBUDILAST	1	False	PDE4B
OGLEMILAST	1	False	PDE4B
THEOPHYLLINE	1	True	PDE4B
CRISABOROLE	1	True	PDE4B
THEOPHYLLINE SODIUM GLYCINATE	1	True	PDE4B
CILOMILAST	1	False	PDE4B
INAMRINONE	1	True	PDE4B
SELECTIVE CYTOKINE INHIBITORY DRUG CC-1088	1	False	PDE4B
LIRIMILAST	1	False	PDE4B
RONOMILAST	1	False	PDE4B
DIFAMILAST	1	False	PDE4B
DROTAVERIN	1	False	PDE4B
TRANIMILAST	1	False	PDE4B
TOFIMILAST	1	False	PDE4B
MEM 1414	1	False	PDE4B
MK-0873	1	False	PDE4B
LOTAMILAST	1	False	PDE4B
DOVRAMILAST	1	False	PDE4B
APREMILAST	1	True	PDE4B
ENSIFENTRINE	1	False	PDE4B
ROLIPRAM	1	False	PDE4B
RITODRINE	1	True	PDE4B
ENPROFYLLINE	1	False	PDE4B
GSK-356278	1	False	PDE4B
GSK-256066	1	False	PDE4B
DYPHYLLINE	1	True	PDE4B
PAPAVERINE	1	True	PDE4B
REVAMILAST	1	False	PDE4B
CHEMBL:CHEMBL535714	1	False	PDE4B
ETAZOLATE	1	False	PDE4B
PICLAMILAST	1	False	PDE4B
AMINOPHYLLINE	1	True	PDE4B
FLAVOXATE HYDROCHLORIDE	1	True	PDE4B
MNK1 INHIBITOR	1	False	ESRRG
TINODASERTIB	1	False	ESRRG
RG-4733	1	False	PSEN2
SEMAGACESTAT	1	False	PSEN2
CHEMBL:CHEMBL247471	1	False	PSEN2
AVAGACESTAT	1	False	PSEN2
NOTCH SIGNALING PATHWAY INHIBITOR MK0752	1	False	PSEN2
NIROGACESTAT	1	True	PSEN2
CHEMBL:CHEMBL392068	1	False	PSEN2
BEGACESTAT	1	False	PSEN2
GSI-136	1	False	PSEN2
IC261	1	False	PSEN2
TARENFLURBIL	1	False	PSEN2
COMPOUND 35 [PMID: 23916259]	1	False	CTNNA2
HALICIN	1	False	CTNNA2
GNE-3511	1	False	CTNNA2
COMPOUND 20 [PMID: 30998356]	1	False	CTNNA2
BOS172722	1	False	CTNNA2
JNK-IN-8	1	False	CTNNA2
COMPOUND 25C [PMID: 36649216]	1	False	CTNNA2
JNK INHIBITOR VIII	1	False	CTNNA2
JNK INHIBITOR 9L	1	False	CTNNA2
SP600125	1	False	CTNNA2
COMPOUND 11 [PMID: 26431428]	1	False	CTNNA2
YL5084	1	False	CTNNA2
TANZISERTIB	1	False	CTNNA2
